Species Family,Species,ID,Date,Time,User,City,Dictrict,Place,Altitude,Latitude,Longitude,Description
晏蜓科,烏基晏蜓,54273,2019/8/25,08:26:00,fisher1952,新北市,淡水區,二子坪,839,25.17795174,121.514132,
晏蜓科,烏基晏蜓,51924,2019/7/30,07:35:00,Tyus Ma,新北市,三芝區,二子坪蝴蝶步道往面天山,835,25.17839504,121.5140891,
晏蜓科,烏基晏蜓,51445,2019/7/17,08:07:00,gekko,新竹縣,尖石鄉,鴛鴦湖,,,,
晏蜓科,烏基晏蜓,51444,2019/7/16,08:25:00,gekko,新竹縣,尖石鄉,鴛鴦湖,,,,
晏蜓科,烏基晏蜓,51274,2019/7/14,07:05:00,skink,新北市,淡水區,二子坪遊憩區,839,25.17794688,121.514132,
晏蜓科,烏基晏蜓,50922,2019/7/6,07:13:00,skink,新北市,淡水區,二子坪遊憩區,839,25.17794688,121.514132,
晏蜓科,烏基晏蜓,50714,2019/7/1,10:40:00,skink,新北市,淡水區,二子坪遊憩區,839,25.17794688,121.514132,
晏蜓科,烏基晏蜓,50506,2019/6/27,12:00:00,allenhu1999925,台北市,北投區,二子坪,826,25.1779129,121.5143251,
晏蜓科,烏基晏蜓,38216,2018/8/12,11:00:00,吳登立,南投縣,魚池鄉,蓮華池,705,23.92216781,120.889468,
晏蜓科,烏基晏蜓,38342,2018/8/12,07:20:00,ysc3679,南投縣,魚池鄉,蓮華池,673,23.91868707,120.8849877,
晏蜓科,烏基晏蜓,39770,2018/8/11,11:15:00,王振芳,南投縣,魚池鄉,蓮華池,702,23.92314938,120.891645,
晏蜓科,烏基晏蜓,38044,2018/8/6,08:21:00,fisher1952,新北市,三芝區,二子坪,823,25.17892031,121.5157242,
晏蜓科,烏基晏蜓,37721,2018/8/4,07:00:00,3aolyhoo,新北市,淡水區,二子坪,,,,
晏蜓科,烏基晏蜓,37670,2018/8/1,08:30:00,cclin,新北市,三芝區,二子坪,821,25.17903774,121.5151341,
晏蜓科,烏基晏蜓,38553,2018/8/1,10:00:00,liou5417,台北市,士林區,二子坪,,,,
晏蜓科,烏基晏蜓,37522,2018/7/30,10:00:00,neo,新北市,淡水區,二子坪遊憩區,828,25.17837788,121.5157211,
晏蜓科,烏基晏蜓,37496,2018/7/29,08:35:00,3aolyhoo,新北市,淡水區,二子坪,0,,,
晏蜓科,烏基晏蜓,36709,2018/7/8,06:08:00,江上飄,宜蘭縣,南澳鄉,神秘湖,1128,24.37892077,121.746292,
晏蜓科,烏基晏蜓,26736,2017/9/6,10:00:00,Leo,宜蘭縣,員山鄉,冷埤,355,24.72246999,121.6496265,
晏蜓科,烏基晏蜓,24596,2017/7/23,09:00:00,Leo,新北市,淡水區,二子坪遊憩區,825,25.17808282,121.5146416,
晏蜓科,烏基晏蜓,24655,2017/7/23,11:00:00,skink,宜蘭縣,南澳鄉,平元林道6.2公里,2000,24.49740185,121.5682033,
晏蜓科,烏基晏蜓,24010,2017/7/7,09:30:00,chiuchu29,台北市,北投區,二子坪,826,25.17804495,121.5144861,
晏蜓科,烏基晏蜓,24109,2017/7/7,09:47:00,Tyus Ma,新北市,三芝區,二子坪蝴蝶步道往面天山,836,25.17844996,121.5140676,
晏蜓科,烏基晏蜓,24188,2017/7/7,09:30:00,Leo,新北市,淡水區,二子坪遊憩區,825,25.17808282,121.5146416,
晏蜓科,烏基晏蜓,22204,2017/5/30,10:00:00,Leo,宜蘭縣,員山鄉,草埤,802,24.76764376,121.6077304,
晏蜓科,烏基晏蜓,22206,2017/5/30,11:00:00,簡庭威,宜蘭縣,員山鄉,草埤,883,24.77177233,121.6099834,
晏蜓科,烏基晏蜓,22406,2017/5/30,10:00:00,趙偉凱,宜蘭縣,員山鄉,草埤,812,24.76851859,121.6066039,
晏蜓科,烏基晏蜓,21624,2017/5/14,09:00:00,cclin,基隆市,七堵區,姜子寮登山口,434,25.06322382,121.7238808,
晏蜓科,烏基晏蜓,15733,2016/8/3,08:00:00,趙偉凱,新北市,淡水區,二子坪,823,25.17818477,121.5147918,
晏蜓科,烏基晏蜓,15763,2016/8/3,10:00:00,Leo,新北市,淡水區,二子坪遊憩區,825,25.17808282,121.5146416,
晏蜓科,烏基晏蜓,15184,2016/7/16,08:30:00,Leo,新北市,淡水區,二子坪遊憩區,825,25.17808282,121.5146416,
晏蜓科,烏基晏蜓,15053,2016/7/14,08:50:00,Leo,新北市,淡水區,二子坪遊憩區,825,25.17808282,121.5146416,
晏蜓科,烏基晏蜓,14148,2016/6/26,06:46:00,江上飄,新竹縣,尖石鄉,尖石與宜蘭大同交界,1707,24.57649326,121.4044332,
晏蜓科,烏基晏蜓,14183,2016/6/26,09:00:00,martina,新竹縣,尖石鄉,鴛鴦湖,1686,24.5767485,121.4024019,
晏蜓科,烏基晏蜓,12833,2016/4/26,11:00:00,李宜龍,花蓮縣,玉里鎮,馬太林池,1046,23.40953894,121.4146328,
晏蜓科,烏基晏蜓,9773,2015/6/16,08:00:00,kss5802,宜蘭縣,員山鄉,草埤,816,24.76657105,121.607386,
晏蜓科,烏基晏蜓,9778,2015/6/15,08:08:00,江上飄,新竹縣,尖石鄉,鴛鴦湖自然保留區,1701,24.57673691,121.404264,
晏蜓科,烏基晏蜓,9754,2015/6/14,08:02:00,martina,新竹縣,尖石鄉,鴛鴦湖自然保留區,1698,24.57684607,121.4039898,
晏蜓科,烏基晏蜓,9895,2015/6/14,09:31:01,cdc0626,新竹縣,尖石鄉,鴛鴦湖自然保留區,1686,24.57669165,121.4079788,
晏蜓科,烏基晏蜓,7892,2014/10/12,09:00:00,neo,宜蘭縣,南澳鄉,南澳闊葉林保留區,1103,24.3774531,121.7463684,
晏蜓科,烏基晏蜓,8119,2014/10/12,07:32:00,江上飄,宜蘭縣,南澳鄉,南澳山區,1128,24.37892077,121.746292,
晏蜓科,烏基晏蜓,6892,2014/7/19,09:00:00,wubird,南投縣,仁愛鄉,梅峰農場,2088,24.08860695,121.1758518,
晏蜓科,烏基晏蜓,6756,2014/7/13,07:00:00,lmk620721,宜蘭縣,員山鄉,草埤,836,24.78505918,121.6152835,
晏蜓科,烏基晏蜓,6652,2014/7/6,08:00:00,neo,新竹縣,尖石鄉,鴛鴦湖自然保留區,1764,24.58002676,121.404376,
晏蜓科,烏基晏蜓,6660,2014/7/6,06:17:00,江上飄,新竹縣,尖石鄉,尖石與宜蘭大同交界,1707,24.57649326,121.4044332,
晏蜓科,烏基晏蜓,6536,2014/6/23,10:30:00,tang,花蓮縣,玉里鎮,越嶺鞍部到馬太林池,1062,23.41036598,121.4158344,
晏蜓科,烏基晏蜓,6283,2014/6/1,08:00:00,neo,宜蘭縣,南澳鄉,南澳闊葉林保留區,1103,24.3774531,121.7463684,
晏蜓科,烏基晏蜓,6298,2014/6/1,06:07:00,江上飄,宜蘭縣,南澳鄉,南澳山區,1128,24.37892077,121.746292,
晏蜓科,烏基晏蜓,526,2013/8/10,09:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,589,24.75821126,121.6136312,
晏蜓科,烏基晏蜓,560,2013/7/28,10:00:00,neo,宜蘭縣,南澳鄉,南澳闊葉林保留區,1130,24.37895803,121.7459393,
晏蜓科,烏基晏蜓,3800,2013/7/28,07:31:00,江上飄,宜蘭縣,南澳鄉,神秘湖,1128,24.37892077,121.746292,
晏蜓科,烏基晏蜓,1156,2012/5/30,10:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,587,24.75809435,121.61376,
晏蜓科,烏基晏蜓,1152,2012/5/23,10:00:00,neo,宜蘭縣,員山鄉,阿玉山林道至草埤,590,24.75832818,121.6136742,
晏蜓科,烏基晏蜓,1146,2012/5/13,10:00:00,neo,宜蘭縣,頭城鎮,後湖子湖,662,24.85968842,121.7628908,
晏蜓科,烏基晏蜓,5725,2011/8/10,09:00:00,Hsu,台北市,北投區,永春寮,305,25.15456902,121.5071583,
晏蜓科,烏基晏蜓,5786,2011/8/7,11:00:00,Hsu,台北市,北投區,粗坑,299,25.15470498,121.5070081,
晏蜓科,烏基晏蜓,2187,2010/6/4,07:56:00,江上飄,桃園市,大溪區,大艽芎古道,307,24.82853345,121.2977743,
晏蜓科,烏基晏蜓,2186,2010/6/2,07:37:00,江上飄,桃園市,大溪區,大艽芎古道,307,24.82853345,121.2977743,
晏蜓科,烏基晏蜓,2181,2010/5/31,05:42:00,江上飄,桃園市,大溪區,大艽芎古道,307,24.82853345,121.2977743,
晏蜓科,烏基晏蜓,6011,2009/6/30,11:00:00,fusowshu,宜蘭縣,員山鄉,草埤,806,24.76735443,121.607886,
晏蜓科,烏基晏蜓,4151,2008/7/11,08:40:00,skink,宜蘭縣,大同鄉,台七線64.3K長唇點,1087,24.64330183,121.4596885,
晏蜓科,烏基晏蜓,3974,2008/5/20,08:20:00,skink,新北市,烏來區,福山植物園,662,24.76006479,121.583443,
